,artist,title,words,format
20,Cinderella,Love Gone Bad,"If I hear you stalkin' Looking for sympathy You just keep on walkin' Actin' like you don't know me Ain't nothin' new for you Honey what you put me through Seven years ago today There ain't no other way  Once bitten now two cents shy Almost the apple of your daddy's eye  But your love Your love's gone bad Yea, yea, yea Your love Your love's gone bad  If I hear you talkin' Gettin' in my ear Listen to the words I say Let me make this very clear Don't ask for money Don't you think my name Everything was sunny Dream about it ain't the same  Once bitten now two cents shy Almost the apple of your daddy's eye  But your love Your love's gone bad Yea, yea, yea Your love Your love's gone bad  Once bitten now two cents shy Almost the apple of your daddy's eye  But your love Your love's gone bad Yea, yea, yea Your love Your love's gone bad your love Your love's gone bad Yea, yea, yea Your love's gone bad  Your love's gone bad Your love's gone bad So bad",1
21,Cinderella,Make Your Own Way,"Born and raised in a one dog town That never took a chance or a dare The times kept a changin' but it all passed 'em by The prejudices in the air Drove me to cocaine eyes by the age of one five Kept my momma walking the floor But I had to draw the line for the very last time She kicked my ass out the door  It ain't always easy when you're living hand to mouth The more you put in, the less you get out It ain't always easy when you're living day to day It ain't always easy when you're tryin' to make your own way  Make your own way When life's a little hard on you Make your own way Nobody's gonna die for you  I remember rollin' dice on the run Looking for a winning hand We never stop to wonder at the wonders passing by Just searchin' for the promised land We met a mean old man Who dealt a dirty hand Promised we could touch the sky But the devil's his friend He put the pen in my hand Said you can pay me back after you die  It ain't always easy when you're living hand to mouth The more you put in, the less you get out It ain't always easy when you're living day to day It ain't always easy when you're tryin' to make your own way  Make your own way When life's a little hard on you Make your own way Nobody's gonna die for you  Ah, ah, ah sometimes you gotta walk the straight line Ah, ah, ah feel like I'm just doing time  Ooo, when life gets a little hard You gotta gotta ooo make your own way Sometimes you gotta make your own way Here we go  Ooo, sing it for 'em now, yeah Make your own way When life's a little hard on you Make your own way Ain't nobody gonna die for you Make your own way When life's a little hard on you Make your own way Ain't nobody gonna die for you Make your own way You gotta gotta make your own way Make your own way Make your own way You gotta make your own way Make your own way Gotta make your own way Make your own way",1
22,Cinderella,Night Songs,"Workin' this job ain't payin' the bills Sick and tired rat race takin' my thrills Kickin' down a road, not a dollar in my pocket Night time falls and I'm ready to rock it  I need a shot of gasoline I hittin' one sixteen I get so hot I see steam Forget the day, cause were gonna scream  Night songs Howl into the light, singin' Night songs Makes the day right Night songs Raise your glass, take a bite Night songs  Ridin' to the east and ridin' to the west Sleepin' all day, but never get a rest Lookin' at the time stand still it ain't right Livin' for the moment, time to get it tight  I need a shot of gasoline I hittin' one sixteen I get so hot I see steam Forget the day, 'cause we're gonna scream  Night songs Howl into the light, singin' Night songs Makes the day right Night songs Raise your glass, take a bite Night songs Oh, sing it  I need a shot of gasoline I hittin' one sixteen I get so hot I see steam Forget the day, cause were gonna scream  Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs Night songs",1
23,Cinderella,Nobody's Fool,"I count the falling tears They fall before my eyes Seems like a thousand years Since we broke the ties I call you on the phone But never get a rise So sit there all alone It's time you realize  I'm not your fool Nobody's fool Nobody's fool I'm no fool Nobody's fool Nobody's fool Never again, no, no  You take your road, i'll take mine The paths have both been beaten Searchin' for a change of pace Love needs to be sweetened I scream my heart out, just to make a dime And with that dime i bought your love But now i've changed my mind  I'm not your fool Nobody's fool Nobody's fool I'm no fool Nobody's fool Nobody's fool Never again, no, no Nobody's fool Nobody's fool I'm no fool Nobody's fool Nobody's fool  I count the falling tears They fall before my eyes Seems like a thousand years Since we broke the ties Ohhh  I'm not your fool Nobody's fool Nobody's fool I'm no fool Nobody's fool Nobody's fool I'm no fool Nobody's fool Nobody's fool I'm no fool Nobody's fool Nobody's fool  Nobody's fool Nobody's fool Nobody's fool Nobody's fool  Nobody's fool Nobody's fool No, nobody's fool Nobody's fool No, nobody's fool Nobody's fool Nobody's fool",1
24,Cinderella,Nothin' for Nothin',"When you see your face in the mirror Does it seem the end is gettin' nearer All your life you spent as a wheeler Now the hole you dug, it's gettin' deeper  You're talkin' words But they don't make the rhyme You'll lose it all 'Cause you can't draw the line  You got nothin' (Nothin' for nothin') You're hurtin' over time (Nothin' for nothin') And we don't need your time (Nothin' for nothin') Pushin', shovin', got no time (Nothin' for nothin')  When you see the day gettin' darker You can run to your lies, run to your cover When you feel the heat from a lover You hit the highway lookin' for another  You made the grade You left the hills behind You take the cake and eat it You're so blind  You got nothin' (Nothin' for nothin') You're hurtin' over time (Nothin' for nothin') And we don't need your time (Nothin' for nothin') Pushin', shovin', got no time (Nothin' for nothin')  (Nothin' for nothin') You're hurtin' over time (Nothin' for nothin') And we don't need your time (Nothin' for nothin') Pushin', shovin', got no time (Nothin' for nothin')  (Nothin' for nothin') You're hurtin' over time (Nothin' for nothin') And we don't need your time (Nothin' for nothin') Pushin', shovin', got no time (Nothin' for nothin')  (Nothin' for nothin') You're hurtin' over time (Nothin' for nothin') And we don't need your time (Nothin' for nothin') Pushin', shovin', got no time Hey, you're hurtin' over time ",1
25,Cinderella,Once Around the Ride,"See me, feel me, come and touch me The way I touch you In the crossfire, live wire Who said maybe I said maybe won't do  The sands of time are slipping by Dust to dust, no second try  You're only goin' Once around the ride, yea You're only goin' Once around the ride  Rock hard, got an ace card I ain't crazy Just got nothin' to do Day breaks, I'll take Can't wait forever 'Cause my life will be through  The sands of time are slipping by Dust to dust, no second try  You're only goin' Once around the ride, yea You're only goin' Once around the ride  Dust to dust, no second try You're only goin' Once around the ride Once around the ride Once around the ride Once around the ride Once around the ride Once around the ride Once around the ride",1
26,Cinderella,One for Rock and Roll,I was born on the dawn of a new society And I feel lucky that my eyes could see People standing up and being Who they want to be People made the music And the music may them free  Now I was just a baby through The summer of love they say But it still feels like it was yesterday And if the road gets rough I pick up my guitar and play  It's always been right by my side To help me on my way  [Chorus] Now I don't need to worry 'bout tomorrow Ain't anticipating what's to come And I don't need to worry 'bout The things I have not done Long as I got rock and roll I'm forever young  Now we can't always understand this world Farther along we'll understand it all The '70s looked like we all Were headed for a fall But those who listened hard enough Could hear the summer call  Now I was growing up through all of this My first beer and love and my first kiss You never learn the things in school You learn by living and going through You taught me to be myself How can I thank you  [Chorus]  [Chorus]  Ain't it truth!,1
27,Cinderella,"Push, Push","I'm gettin' hot I've got to give a shot She wants it all And that's a lot  I'm gettin' ready The love's lookin' steady It's gettin' sticky I thought she might miss me She looked at me and said  I need a little Push, push Gonna give a little Push, push If ya take a little Push, push Then you'll get a little Push, push  She's lookin' fine Flashin' like a neon sign She thinks it's love I said that comes with time  I'm gettin' ready The love's lookin' steady It's gettin' sticky I thought she might miss me She looked at me and said  I need a little Push, push Come and give a little Push, push If ya take a little Push, push Then you'll get a little Push, push Whoa, yea Push on  I'm gettin' ready The love's lookin' steady It's gettin' sticky I thought she might miss me She looked at me and said  I need a little Push, push Come and give a little Push, push If ya take a little Push, push Then you'll get a little Push, push  Woo, push, push Mmm, keep pushin' me Push, push Push on Push, push Ooo, yea, yea Push, push",1
28,Cinderella,Second Wind,"Lightning strikes before my eyes Makes them burn, makes them blind I can catch what they throw at me Heaven's fire sets me free It's easy come and it's easy go Don't ya know, yea When I'm down and I'm feelin' low  My second wind gets me strong I'm right back where I belong My second wind I can't go wrong I take what's mine then I move along  Take my heart take my soul Take my rock I still roll T...T...T... take what you like Knock me down and watch me strike It's easy come and it's easy go Don't ya know, yea When I'm down and I'm feelin' low  My second wind gets me strong I'm right back where I belong My second wind I can't go wrong I take what's mine then I move along  It's easy come and it's easy go Don't ya know, yea When I'm down and I'm feelin' low  My second wind gets me strong I'm right back where I belong My second wind I can't go wrong I take what's mine then I move",1
29,Cinderella,Shake Me,"Alright, yeah  I met this girl around quarter to ten We made it once, she said ""make me again"" She wrapped her love around me all night long In the mornin' we were still goin' strong  Now let me tell ya, it sure feels good First time I saw that girl I knew it would Now let me tell ya, it sure felt right No pullin' teeth, she didn't want to fight, she said  Shake me, all night, she said Shake me, shake it, don't break it baby Shake me, all night, she said All night long All night long baby  Screamed and scratched and rolled out of the bed I never really got her out of my head And now and then she makes those social calls Gives me a squeeze, gets me kickin' the walls  Now let me tell ya, it still feels tight And we were shakin' after every bite I feel her comin' in the middle of the night Screamin' higher  Shake me, all night, she said Shake me, shake it, don't break it baby Shake me, all night, she said Shake me, oh yeah  All night, keep the fire burnin',  'Cause were doin' all right All night, come on and shake it right  Shake me Shake me Shake me  Shake me  Shake me all night, she said Shake me, shake it, don't break it baby Shake me, all night, she said Shake me, oh yeah  Shake me Shake me, yeah Shake me (oh come on baby baby) Shake me Shake me Shake me",1
